順位,都道府県,市町村,件数,寄付金額,送付に関する費用,1件あたり送付費用
1,北海道,紋別市,1105048,15296677054,2313681146,2094
2,北海道,根室市,774294,14575608698,1620813400,2093
3,北海道,白糠町,827301,12521862720,1408771978,1703
4,北海道,弟子屈町,300490,5860501861,604896044,2013
5,北海道,千歳市,202675,4076949000,426029639,2102
6,北海道,森町,165953,2893995000,244028833,1470
7,北海道,当別町,221561,2727548000,352454340,1591
8,北海道,八雲町,144359,2521477780,207605599,1438
9,北海道,別海町,195986,2458747200,209362767,1068
10,北海道,稚内市,135113,2300993000,219038549,1621
11,北海道,網走市,92046,2243791000,160227739,1741
12,北海道,北見市,171667,1909239400,209542754,1221
13,北海道,旭川市,129141,1892933632,191263624,1481
14,北海道,恵庭市,87803,1825809000,141712304,1614
15,北海道,滝川市,104630,1728535500,132383036,1265
16,北海道,美唄市,113720,1572316000,196129937,1725
17,北海道,上士幌町,97057,1529428000,199806276,2059
18,北海道,帯広市,102575,1362770000,165967562,1618
19,北海道,寿都町,108397,1314324000,166876533,1539
20,北海道,釧路市,58452,1176820600,77464468,1325
